fecha,ipc
2011-08, 0.0
2011-09, 1.9
2011-10, 1.1
2011-11, 1.4
2011-12, 1.9
2012-01, 1.2
2012-02, 1.5
2012-03, 3.4
2012-04, 2.0
2012-05, 1.9
2012-06, 1.33
2012-07, 1.71
2012-08, 1.8
2012-09, 1.6
2012-10, 1.5
2012-11, 1.9
2012-12, 1.2
2013-01, 1.7
2013-02, 2.5
2013-03, 2.5
2013-04, 1.6
2013-05, 1.9
2013-06, 2.3
2013-07, 2.3
2013-08, 1.9
2013-09, 1.9
2013-10, 3.3
2013-11, 2.9
2013-12, 3.3
2014-01, 4.2
2014-02, 7.2
2014-03, 4.0
2014-04, 2.1
2014-05, 2.6
2014-06, 1.8
2014-07, 2.0
2014-08, 2.5
2014-09, 3.1
2014-10, 1.3
2014-11, 1.5
2014-12, 1.5
2015-01, 1.5
2015-02, 2.0
2015-03, 2.1
2015-04, 1.8
2015-05, 2.0
2015-06, 1.1
2015-07, 2.3
2015-08, 1.9
2015-09, 2.4
2015-10, 1.4
2015-11, 2.9
2015-12, 6.5
2016-01, 4.2
2016-02, 2.7
2016-03, 3.0
2016-04, 7.0
